Title,Body,text,language,clean_text
Superb company,Superb company. I use them all the time. Perfect. 10/10,Superb company Superb company. I use them all the time. Perfect. 10/10,en,superb company superb company use time perfect 1010
SCAM SCAM SCAM!!!,"SCAM SCAM SCAM!!!! I order this shirt and a pair of shorts. A sketchy delivery driver texted me from iMessage, didn't identify which delivery service he was with. I buzzed him into my building. He took a picture of the parcel then immediately left with it. When I tried to file a claim with Shein, they took the side of the thief instead of refunding me or just sending me another.","SCAM SCAM SCAM!!! SCAM SCAM SCAM!!!! I order this shirt and a pair of shorts. A sketchy delivery driver texted me from iMessage, didn't identify which delivery service he was with. I buzzed him into my building. He took a picture of the parcel then immediately left with it. When I tried to file a claim with Shein, they took the side of the thief instead of refunding me or just sending me another.",en,scam scam scam scam scam scam order shirt pair shorts sketchy delivery driver texted imessage didnt identify delivery service buzzed building took picture parcel immediately left tried file claim shein took side thief instead refunding sending another
Been trying for this to be resolved…,Been trying for this to be resolved since the 25/3/25. Delivery company Yodel used by SHEIN delivered parcel. And photograph taken. But tried to explain this is not my house and that permission to be delivered elsewhere was never consented. Told to be patient which I have to then receive another mail to say your items show as being delivered and proof given. IDID NOT RECEIVE IT WRONG ADDRESS. I have searched everywhere and can not afford to lose the money I’ve spent. It is SHEIN responsibility!!!,Been trying for this to be resolved… Been trying for this to be resolved since the 25/3/25. Delivery company Yodel used by SHEIN delivered parcel. And photograph taken. But tried to explain this is not my house and that permission to be delivered elsewhere was never consented. Told to be patient which I have to then receive another mail to say your items show as being delivered and proof given. IDID NOT RECEIVE IT WRONG ADDRESS. I have searched everywhere and can not afford to lose the money I’ve spent. It is SHEIN responsibility!!!,en,trying resolved… trying resolved since 25325 delivery company yodel used shein delivered parcel photograph taken tried explain house permission delivered elsewhere never consented told patient receive another mail say items show delivered proof given idid receive wrong address searched everywhere afford lose money ’ spent shein responsibility
All the girls stuff came first through…,All the girls stuff came first through all different days I placed my order first and nothing and their orders were bigger is that not Sexist... Not happy won't be ordering again.,All the girls stuff came first through… All the girls stuff came first through all different days I placed my order first and nothing and their orders were bigger is that not Sexist... Not happy won't be ordering again.,en,girls stuff came first through… girls stuff came first different days placed order first nothing orders bigger sexist happy wont ordering
When the shirt arrived the material was…,"When the shirt arrived the material was awful. Flimsy and nothing like the photo, I suppose you get what you pay for , cheap and cheerful, won't risk using them again","When the shirt arrived the material was… When the shirt arrived the material was awful. Flimsy and nothing like the photo, I suppose you get what you pay for , cheap and cheerful, won't risk using them again",en,shirt arrived material was… shirt arrived material awful flimsy nothing like photo suppose get pay cheap cheerful wont risk using
I’ve had the worst experiences with…,"I’ve had the worst experiences with SHEIN. Garments that aren’t packed properly for despatch; no paperwork inside non-existent packaging; garments that are totally awful fabric and don’t resemble the original advertisement and to cap it all, impossible to return - totally impossible. Customer service non-existent. I would run a mile from ever ordering from this company ever again.","I’ve had the worst experiences with… I’ve had the worst experiences with SHEIN. Garments that aren’t packed properly for despatch; no paperwork inside non-existent packaging; garments that are totally awful fabric and don’t resemble the original advertisement and to cap it all, impossible to return - totally impossible. Customer service non-existent. I would run a mile from ever ordering from this company ever again.",en,’ worst experiences with… ’ worst experiences shein garments ’ packed properly despatch paperwork inside nonexistent packaging garments totally awful fabric ’ resemble original advertisement cap impossible return totally impossible customer service nonexistent would run mile ever ordering company ever
I just received my shein order and…,I just received my shein order and tried everything on about 7 to 8 items and everything was absolutely amazing and they fit perfectly and I only spent about $38 on everything so that is a win-win in my book definitely ordering in the future just waiting to see how they are after I wash and dry them though hopefully they don't shrink like some clothes do but if I remember I will update after I wash them,I just received my shein order and… I just received my shein order and tried everything on about 7 to 8 items and everything was absolutely amazing and they fit perfectly and I only spent about $38 on everything so that is a win-win in my book definitely ordering in the future just waiting to see how they are after I wash and dry them though hopefully they don't shrink like some clothes do but if I remember I will update after I wash them,en,received shein order and… received shein order tried everything 7 8 items everything absolutely amazing fit perfectly spent 38 everything winwin book definitely ordering future waiting see wash dry though hopefully dont shrink like clothes remember update wash
I dont understand if the quality is…,"I dont understand if the quality is good, the material once you wash it gets spoilt so thats why I have rated it a 3","I dont understand if the quality is… I dont understand if the quality is good, the material once you wash it gets spoilt so thats why I have rated it a 3",en,dont understand quality is… dont understand quality good material wash gets spoilt thats rated 3
Ordered from them & didn't receive…,"Ordered from them & didn't receive iteam.. I tried reaching out to them. They said it was delivered when it wasn't, and they said it was signed for and it obviously wasn't. Was home all day, check my cameras called the Post Office post office. Said it was. I sent to address that. That's not even mine the that I have on file with them. And that the package weighed 4 oz when it was a pop-up canopy tent. No way, it was 4 oz, total scam.","Ordered from them & didn't receive… Ordered from them & didn't receive iteam.. I tried reaching out to them. They said it was delivered when it wasn't, and they said it was signed for and it obviously wasn't. Was home all day, check my cameras called the Post Office post office. Said it was. I sent to address that. That's not even mine the that I have on file with them. And that the package weighed 4 oz when it was a pop-up canopy tent. No way, it was 4 oz, total scam.",en,ordered didnt receive… ordered didnt receive iteam tried reaching said delivered wasnt said signed obviously wasnt home day check cameras called post office post office said sent address thats even mine file package weighed 4 oz popup canopy tent way 4 oz total scam
shein,"really mad because i will add things in my cart at a certain price, but when i go to checkout the prices are almost double. i want this order, but i don’t think i’ll be purchasing there again. it’s very aggravating because why is my cart price double than what it should be. i like a lot of their things, but its very annoying for your cart to be almost double the price it should be. i know it definitely didn’t cost that much to make. plus they use use slave labor. i’m really mad, like i thought i had my cart at what i wanted it to be, but the prices randomly went up. i wouldn’t mind paying that much if it was worth it, but its not. i really don’t want to shop there again after this.","shein really mad because i will add things in my cart at a certain price, but when i go to checkout the prices are almost double. i want this order, but i don’t think i’ll be purchasing there again. it’s very aggravating because why is my cart price double than what it should be. i like a lot of their things, but its very annoying for your cart to be almost double the price it should be. i know it definitely didn’t cost that much to make. plus they use use slave labor. i’m really mad, like i thought i had my cart at what i wanted it to be, but the prices randomly went up. i wouldn’t mind paying that much if it was worth it, but its not. i really don’t want to shop there again after this.",en,shein really mad add things cart certain price go checkout prices almost double want order ’ think ’ purchasing ’ aggravating cart price double like lot things annoying cart almost double price know definitely ’ cost much make plus use use slave labor ’ really mad like thought cart wanted prices randomly went ’ mind paying much worth really ’ want shop
Great,"Great! Amazing prices on clothes and other bits. I recommend getting the Shein club as it gives you free postage and discount on items. Return is easy if something doesn’t fit. Quality can differ, some really good and some poor, however for the price it’s mostly always good. Delivery sometimes can be super quick 1-2 days but usually it can take up to 2 weeks.","Great Great! Amazing prices on clothes and other bits. I recommend getting the Shein club as it gives you free postage and discount on items. Return is easy if something doesn’t fit. Quality can differ, some really good and some poor, however for the price it’s mostly always good. Delivery sometimes can be super quick 1-2 days but usually it can take up to 2 weeks.",en,great great amazing prices clothes bits recommend getting shein club gives free postage discount items return easy something ’ fit quality differ really good poor however price ’ mostly always good delivery sometimes super quick 12 days usually take 2 weeks
I bought a trampoline for an extremely…,"I bought a trampoline for an extremely low price, and they never delivered it. When I complained about it they refused to refund my money. I have bought something before with no problem. But as soon as things get lost or not delivered they will not care to refund or check on it. It’s not very reliable don’t spend too much money and don’t buy things that have a huge sale on it. Because it’s probably fake.","I bought a trampoline for an extremely… I bought a trampoline for an extremely low price, and they never delivered it. When I complained about it they refused to refund my money. I have bought something before with no problem. But as soon as things get lost or not delivered they will not care to refund or check on it. It’s not very reliable don’t spend too much money and don’t buy things that have a huge sale on it. Because it’s probably fake.",en,bought trampoline extremely… bought trampoline extremely low price never delivered complained refused refund money bought something problem soon things get lost delivered care refund check ’ reliable ’ spend much money ’ buy things huge sale ’ probably fake
Don’t give back my money,"I bought from Shin about 5 months ago, I returned some items to Shin and they should have refunded me $101, but it's been over 5 months now and they still haven't paid me $101 and they don't follow up on my work at all. Considering that the items arrived in the first month, I asked them to give me a credit for the same amount so I can make another purchase, or refund my money to my card. They have neither given me a credit for the returned items nor will they refund my money. This is a real theft.","Don’t give back my money I bought from Shin about 5 months ago, I returned some items to Shin and they should have refunded me $101, but it's been over 5 months now and they still haven't paid me $101 and they don't follow up on my work at all. Considering that the items arrived in the first month, I asked them to give me a credit for the same amount so I can make another purchase, or refund my money to my card. They have neither given me a credit for the returned items nor will they refund my money. This is a real theft.",en,’ give back money bought shin 5 months ago returned items shin refunded 101 5 months still havent paid 101 dont follow work considering items arrived first month asked give credit amount make another purchase refund money card neither given credit returned items refund money real theft
My return update!!,Hi ladies! I just wanted to update you guys my return experience. I just wanted to apologize to for the recent bad review that I made to SHEIN in Japan. Overall my shipping experience with SHEIN Japan was faster than the expected “delivery” date and I was able to return my package smoothly by personally dropping it off at a nearby drop off locker. It was kind of difficult to get around the website to reach the actual representative but in the end they were very kind and very patience with assisting my return. Thank you again for your service SHEIN!!!,My return update!! Hi ladies! I just wanted to update you guys my return experience. I just wanted to apologize to for the recent bad review that I made to SHEIN in Japan. Overall my shipping experience with SHEIN Japan was faster than the expected “delivery” date and I was able to return my package smoothly by personally dropping it off at a nearby drop off locker. It was kind of difficult to get around the website to reach the actual representative but in the end they were very kind and very patience with assisting my return. Thank you again for your service SHEIN!!!,en,return update hi ladies wanted update guys return experience wanted apologize recent bad review made shein japan overall shipping experience shein japan faster expected “ delivery ” date able return package smoothly personally dropping nearby drop locker kind difficult get around website reach actual representative end kind patience assisting return thank service shein
Worst customer service for loyal customers,"I tried to return 7 items on my last day and they said no because of time but the time difference was not right and I made more than 30 orders so far with them and this is how they treat customers
Absolutely disgusting","Worst customer service for loyal customers I tried to return 7 items on my last day and they said no because of time but the time difference was not right and I made more than 30 orders so far with them and this is how they treat customers
Absolutely disgusting",en,worst customer service loyal customers tried return 7 items last day said time time difference right made 30 orders far treat customers absolutely disgusting
Photos non conformes à l’article reçu,Photos non conformes,Photos non conformes à l’article reçu Photos non conformes,en,photos non conformes à l ’ article reçu photos non conformes
Absolute Rubbish,"HA HA! IN ADDITION TO THE REVIEW I HAVE ALREADY POSTED - WHICH IS THE ONE FOLLOWING THIS COMMENT THEY NOW WANT ME TO SORT THE ISSUE MY END? I PAID THEM TO DELIVER ME A PURCHASE, IT'S UP TO THEM TO CHASE IT! I WILL ONLY EVER BUY FROM THE UK FOLLOWING THIS SHOCKING EXPERIENCE! THIS IS MY ORIGINAL REVIEW: Absolute Rubbish! Placed an order & received email saying my purchase is dispatched & with Royal Mail? I live a 10min walk from local sorting office & 2 doors away from our local Postman - a very good family friend of more than 20yrs. He has checked before & after his shifts & nothing is showing on Royal Mail Database? So i am now expected to chase a purchase which claims to have been dispatched? No update & no parcel, it is not my job to chase it up - you claim it was dispatched? Under UK law it is the responsibility of the Sender to ensure the transaction is satisfactory?","Absolute Rubbish HA HA! IN ADDITION TO THE REVIEW I HAVE ALREADY POSTED - WHICH IS THE ONE FOLLOWING THIS COMMENT THEY NOW WANT ME TO SORT THE ISSUE MY END? I PAID THEM TO DELIVER ME A PURCHASE, IT'S UP TO THEM TO CHASE IT! I WILL ONLY EVER BUY FROM THE UK FOLLOWING THIS SHOCKING EXPERIENCE! THIS IS MY ORIGINAL REVIEW: Absolute Rubbish! Placed an order & received email saying my purchase is dispatched & with Royal Mail? I live a 10min walk from local sorting office & 2 doors away from our local Postman - a very good family friend of more than 20yrs. He has checked before & after his shifts & nothing is showing on Royal Mail Database? So i am now expected to chase a purchase which claims to have been dispatched? No update & no parcel, it is not my job to chase it up - you claim it was dispatched? Under UK law it is the responsibility of the Sender to ensure the transaction is satisfactory?",en,absolute rubbish ha ha addition review already posted one following comment want sort issue end paid deliver purchase chase ever buy uk following shocking experience original review absolute rubbish placed order received email saying purchase dispatched royal mail live 10min walk local sorting office 2 doors away local postman good family friend 20yrs checked shifts nothing showing royal mail database expected chase purchase claims dispatched update parcel job chase claim dispatched uk law responsibility sender ensure transaction satisfactory
Just placed my first order,"Just placed my first order and a risk assessment came up, ridiculous I paid by PayPal how can this be a risk? Between this company and Temu I think there's a serious problem","Just placed my first order Just placed my first order and a risk assessment came up, ridiculous I paid by PayPal how can this be a risk? Between this company and Temu I think there's a serious problem",en,placed first order placed first order risk assessment came ridiculous paid paypal risk company temu think theres serious problem
company does not offer resolution…still I have no merchdise or my refund based on all the communcation regaring this I still requset a refund i can not continue with what you are doing please refund,This company does not offer resolution to mising items you will have to eat the loss because of their errors in customer service. There is no one to speak to just a AI and you can't speak with a person with problems of this nature. Just loose your hard earned money. this company should be investigated.,company does not offer resolution…still I have no merchdise or my refund based on all the communcation regaring this I still requset a refund i can not continue with what you are doing please refund This company does not offer resolution to mising items you will have to eat the loss because of their errors in customer service. There is no one to speak to just a AI and you can't speak with a person with problems of this nature. Just loose your hard earned money. this company should be investigated.,en,company offer resolution…still merchdise refund based communcation regaring still requset refund continue please refund company offer resolution mising items eat loss errors customer service one speak ai cant speak person problems nature loose hard earned money company investigated
Worst stuff from SHEIN. Bad experience …,I recently ordered clothes and some accessories from SHEIN. I was massively disappointed with the quality of the stuff. It is rip off. Worst online shopping experience ever. Big No to SHEIN,Worst stuff from SHEIN. Bad experience … I recently ordered clothes and some accessories from SHEIN. I was massively disappointed with the quality of the stuff. It is rip off. Worst online shopping experience ever. Big No to SHEIN,en,worst stuff shein bad experience … recently ordered clothes accessories shein massively disappointed quality stuff rip worst online shopping experience ever big shein
Avoid,"Down loaded the app and put an order in. Item turned up and it wasn't the size I'd order. Got in contact with their ""customer service"" who acted like I'd order the wrong and not that the wrong was sent. They asked me if would like to return the item so I asked if I could swap it for the item I'd order. The reply was they can swap the wrong sized item for another wrong sized item. At no point does it seems they understood that the sent me the wrong item and felt like they were trying to make it seemed like I order the wrong.

Avoid if you can if my one and only time using them is anything to go by.","Avoid Down loaded the app and put an order in. Item turned up and it wasn't the size I'd order. Got in contact with their ""customer service"" who acted like I'd order the wrong and not that the wrong was sent. They asked me if would like to return the item so I asked if I could swap it for the item I'd order. The reply was they can swap the wrong sized item for another wrong sized item. At no point does it seems they understood that the sent me the wrong item and felt like they were trying to make it seemed like I order the wrong.

Avoid if you can if my one and only time using them is anything to go by.",en,avoid loaded app put order item turned wasnt size id order got contact customer service acted like id order wrong wrong sent asked would like return item asked could swap item id order reply swap wrong sized item another wrong sized item point seems understood sent wrong item felt like trying make seemed like order wrong avoid one time using anything go
Deleting Shein because of Imile,"Shein, I was shopping on your app like 3x a week but I had enough of Imile! I told your customer service that I don’t want Imile delivering my packages as they have poor service and no customer service to call but still your staff keep on sending my packages through imile instead of my request auspost! Now I have decided, after receiving my remaining packages, im deleting shein for good because of Imile delivery.","Deleting Shein because of Imile Shein, I was shopping on your app like 3x a week but I had enough of Imile! I told your customer service that I don’t want Imile delivering my packages as they have poor service and no customer service to call but still your staff keep on sending my packages through imile instead of my request auspost! Now I have decided, after receiving my remaining packages, im deleting shein for good because of Imile delivery.",en,deleting shein imile shein shopping app like 3x week enough imile told customer service ’ want imile delivering packages poor service customer service call still staff keep sending packages imile instead request auspost decided receiving remaining packages im deleting shein good imile delivery
"Lost Package, No Help from Shein","Shein’s customer service is disappointing. Two of my packages was marked as delivered, but I never received it. When I contacted support, they asked for proof—but how am I supposed to provide proof for something that was never delivered? What exactly am I supposed to prove? I had to contact the shipping company myself and wait a long time for their response, only for them to tell me they don’t know where my package is. They claim it was delivered, but they have no idea to whom—maybe a neighbor, maybe someone else—but definitely not me. In the end, I got tired of wasting my time on this situation and just confirmed the complaint as resolved, even though I never received my package. Meanwhile, I know other customers who were refunded without any proof, which feels unfair. After weeks of back-and-forth, there was no real help from Shein. This experience has made me lose trust in their service and I won’t be ordering again.","Lost Package, No Help from Shein Shein’s customer service is disappointing. Two of my packages was marked as delivered, but I never received it. When I contacted support, they asked for proof—but how am I supposed to provide proof for something that was never delivered? What exactly am I supposed to prove? I had to contact the shipping company myself and wait a long time for their response, only for them to tell me they don’t know where my package is. They claim it was delivered, but they have no idea to whom—maybe a neighbor, maybe someone else—but definitely not me. In the end, I got tired of wasting my time on this situation and just confirmed the complaint as resolved, even though I never received my package. Meanwhile, I know other customers who were refunded without any proof, which feels unfair. After weeks of back-and-forth, there was no real help from Shein. This experience has made me lose trust in their service and I won’t be ordering again.",en,lost package help shein shein ’ customer service disappointing two packages marked delivered never received contacted support asked proof—but supposed provide proof something never delivered exactly supposed prove contact shipping company wait long time response tell ’ know package claim delivered idea whom—maybe neighbor maybe someone else—but definitely end got tired wasting time situation confirmed complaint resolved even though never received package meanwhile know customers refunded without proof feels unfair weeks backandforth real help shein experience made lose trust service ’ ordering
I spent $75 and never received my…,I spent $75 and never received my package. They said it was delivered and there is nothing they can do. UPS said I had to go through Shein but they refuse to help me,I spent $75 and never received my… I spent $75 and never received my package. They said it was delivered and there is nothing they can do. UPS said I had to go through Shein but they refuse to help me,en,spent 75 never received my… spent 75 never received package said delivered nothing ups said go shein refuse help
Tout correct,"Date of experience: March 28, 2025","Tout correct Date of experience: March 28, 2025",en,tout correct date experience march 28 2025
I absolutely love SHEIN it’s really…,I absolutely love SHEIN it’s really affordable and provides good quality products,I absolutely love SHEIN it’s really… I absolutely love SHEIN it’s really affordable and provides good quality products,en,absolutely love shein ’ really… absolutely love shein ’ really affordable provides good quality products
Total Junk,"Just a fair warning to not waste your time and money.
I believe the reviews on the Shein website are bogus. It's impossible to have only 4-5 star reviews on everything listed on their website. Based on my 2 orders...
• Customer service is non-existent.
• The items I received all STINK like dead fish.
• By the time you place an order, have to make a return to get your refund, you're looking at least a month. There are many other options available in the U.S. to purchase quality items at a fair price without going to CHINA to get them.
• Everything I received looked so cheap it's embarrassing. You are mistaken if you don't think people can't tell the low-end Shein quality.","Total Junk Just a fair warning to not waste your time and money.
I believe the reviews on the Shein website are bogus. It's impossible to have only 4-5 star reviews on everything listed on their website. Based on my 2 orders...
• Customer service is non-existent.
• The items I received all STINK like dead fish.
• By the time you place an order, have to make a return to get your refund, you're looking at least a month. There are many other options available in the U.S. to purchase quality items at a fair price without going to CHINA to get them.
• Everything I received looked so cheap it's embarrassing. You are mistaken if you don't think people can't tell the low-end Shein quality.",en,total junk fair warning waste time money believe reviews shein website bogus impossible 45 star reviews everything listed website based 2 orders • customer service nonexistent • items received stink like dead fish • time place order make return get refund youre looking least month many options available us purchase quality items fair price without going china get • everything received looked cheap embarrassing mistaken dont think people cant tell lowend shein quality
